file,タイトル,tag1,tag2,tag3,URL,,,
AlexanderPodkhalyuzin_1.html,title: IntelliJ IDEA で Scala をマスターする,editor,development environment,,http://scalamatsuri.org/ja/candidates/AlexanderPodkhalyuzin_1/,,,
AlexanderPodkhalyuzin_2.html,title: Scala Plugin for IntelliJ IDEA の内部構造,editor,development environment,,http://scalamatsuri.org/ja/candidates/AlexanderPodkhalyuzin_2/,,,
AmandaLaucher_1.html,"title: ""型 vs テスト""",testing,type system,,http://scalamatsuri.org/ja/candidates/AmandaLaucher_1/,,,
AnatoliiKmetiuk_1.html,title: プロセス代数を用いたゲーム開発,mathematics,game,,http://scalamatsuri.org/ja/candidates/AnatoliiKmetiuk_1/,,,
CheonSeongduk_1.html,title: PredictionIO (Machine Learning Server in Scala）を用いた推薦エンジン事例紹介,machine learning,case study,,http://scalamatsuri.org/ja/candidates/CheonSeongduk_1/,,,
ChrisBirchall_1.html,title: Scalac の深みへダイブ,compiler,,,http://scalamatsuri.org/ja/candidates/ChrisBirchall_1/,,,
ChrisMyers_1.html,title: 純粋関数型 web アプリ,functional programming,,,http://scalamatsuri.org/ja/candidates/ChrisMyers_1/,,,
ChristopherHunt_1.html,title: リアクティブ・マイクロサービス,architecture,akka,play,http://scalamatsuri.org/ja/candidates/ChristopherHunt_1/,,,
ClementDelafargue_1.html,title: Scala初心者のための関数型パターン,functional programming,,,http://scalamatsuri.org/ja/candidates/ClementDelafargue_1/,,,
CyrilleArtho_1.html,"title: ""Modbat：ユニットテストにテストを書かせよう""",testing,tools and libraries,,http://scalamatsuri.org/ja/candidates/CyrilleArtho_1/,,,
DaisukeKasuya_1.html,title: はてなインターン in Scala,case study,,,http://scalamatsuri.org/ja/candidates/DaisukeKasuya_1/,,,
DeanWampler_1.html,title: Scala と Big Data がこんなに便利なわけがない,big data,,,http://scalamatsuri.org/ja/candidates/DeanWampler_1/,,,
DebasishGhosh_1.html,title: 関数型、代数的なドメイン・モデリングの方法,functional programming,,,http://scalamatsuri.org/ja/candidates/DebasishGhosh_1/,,,
DevonStewart_1.html,title: 純粋関数型スタックに移行するための実践的なステップ,functional programming,case study,play,http://scalamatsuri.org/ja/candidates/DevonStewart_1/,,,
DmitryIvanov_1.html,"title: ""Scala における実用 CRDT 解明""",database,distributed,,http://scalamatsuri.org/ja/candidates/DmitryIvanov_1/,,,
EugeneYokota_1.html,title: 猫という考え方,functional programming,,,http://scalamatsuri.org/ja/candidates/EugeneYokota_1/,,,
FranPerez_1.html,title: 平静を保ってスパークせよ,big data,,,http://scalamatsuri.org/ja/candidates/FranPerez_1/,,,
GenkiIshibashi_1.html,"title: ""Scalaで始めるDIY~つくれ！スカラ号！~""",IoT,Makers,,http://scalamatsuri.org/ja/candidates/GenkiIshibashi_1/,,,
HuyDo_1.html,"title: ""Jruby vs Scala""",compare,,,http://scalamatsuri.org/ja/candidates/HuyDo_1/,,,
IppeiTakahashi_1.html,title: Play + Slick + Scalazによる、関数型サーバサイド開発,functional programming,play,tools and libraries,http://scalamatsuri.org/ja/candidates/IppeiTakahashi_1/,,,
JamesSullivan_1.html,"title: ""業務上の現実問題: Scalaを使ったバーティカルな Web クローリング""",case study,,,http://scalamatsuri.org/ja/candidates/JamesSullivan_1/,,,
JavierSiloniz_1.html,title: ブリッジを作る - オープンソースフレームワークを利用した iOS/OSX の Scala っぽい関数型のコード,Scala and Swift,iOS,OSX,http://scalamatsuri.org/ja/candidates/JavierSiloniz_1/,,,
JonPretty_1.html,title: エラーを減らそう、転ばぬ先の依存型,language,type system,,http://scalamatsuri.org/ja/candidates/JonPretty_1/,,,
JonasBoner_1.html,title: 現在という幻想の向こうにある人生,reactive,distributed,,http://scalamatsuri.org/ja/candidates/JonasBoner_1/,,,
JonasBoner_2.html,title: 正常系の末に行き着く異常さ,architecture,,reactive,http://scalamatsuri.org/ja/candidates/JonasBoner_2/,,,
